command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	835911	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-900-c/testcases/000/234/401/CWE124_Buffer_Underwrite__malloc_char_memmove_61a.c								
ANR	835912	DeclStmt									
ANR	835913	Decl							char	char * ( char * data )	CWE124_Buffer_Underwrite__malloc_char_memmove_61b_badSource
ANR	835914	Function	CWE124_Buffer_Underwrite__malloc_char_memmove_61_bad	26:0:768:1507							
ANR	835915	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_memmove_61_bad ()		835914	0					
ANR	835916	CompoundStatement		27:0:829:1507	835914	0					
ANR	835917	IdentifierDeclStatement	char * data ;	28:4:836:847	835914	0	True				
ANR	835918	IdentifierDecl	* data		835914	0					
ANR	835919	IdentifierDeclType	char *		835914	0					
ANR	835920	Identifier	data		835914	1					
ANR	835921	ExpressionStatement	data = NULL	29:4:854:865	835914	1	True				
ANR	835922	AssignmentExpression	data = NULL		835914	0		=			
ANR	835923	Identifier	data		835914	0					
ANR	835924	Identifier	NULL		835914	1					
ANR	835925	ExpressionStatement	data = CWE124_Buffer_Underwrite__malloc_char_memmove_61b_badSource ( data )	30:4:872:944	835914	2	True				
ANR	835926	AssignmentExpression	data = CWE124_Buffer_Underwrite__malloc_char_memmove_61b_badSource ( data )		835914	0		=			
ANR	835927	Identifier	data		835914	0					
ANR	835928	CallExpression	CWE124_Buffer_Underwrite__malloc_char_memmove_61b_badSource ( data )		835914	1					
ANR	835929	Callee	CWE124_Buffer_Underwrite__malloc_char_memmove_61b_badSource		835914	0					
ANR	835930	Identifier	CWE124_Buffer_Underwrite__malloc_char_memmove_61b_badSource		835914	0					
ANR	835931	ArgumentList	data		835914	1					
ANR	835932	Argument	data		835914	0					
ANR	835933	Identifier	data		835914	0					
ANR	835934	CompoundStatement		6:8:132:148	835914	3					
ANR	835935	IdentifierDeclStatement	char source [ 100 ] ;	32:8:962:978	835914	0	True				
ANR	835936	IdentifierDecl	source [ 100 ]		835914	0					
ANR	835937	IdentifierDeclType	char [ 100 ]		835914	0					
ANR	835938	Identifier	source		835914	1					
ANR	835939	PrimaryExpression	100		835914	2					
ANR	835940	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	33:8:989:1015	835914	1	True				
ANR	835941	CallExpression	"memset ( source , 'C' , 100 - 1 )"		835914	0					
ANR	835942	Callee	memset		835914	0					
ANR	835943	Identifier	memset		835914	0					
ANR	835944	ArgumentList	source		835914	1					
ANR	835945	Argument	source		835914	0					
ANR	835946	Identifier	source		835914	0					
ANR	835947	Argument	'C'		835914	1					
ANR	835948	PrimaryExpression	'C'		835914	0					
ANR	835949	Argument	100 - 1		835914	2					
ANR	835950	AdditiveExpression	100 - 1		835914	0		-			
ANR	835951	PrimaryExpression	100		835914	0					
ANR	835952	PrimaryExpression	1		835914	1					
ANR	835953	ExpressionStatement	source [ 100 - 1 ] = '\\0'	34:8:1047:1067	835914	2	True				
ANR	835954	AssignmentExpression	source [ 100 - 1 ] = '\\0'		835914	0		=			
ANR	835955	ArrayIndexing	source [ 100 - 1 ]		835914	0					
ANR	835956	Identifier	source		835914	0					
ANR	835957	AdditiveExpression	100 - 1		835914	1		-			
ANR	835958	PrimaryExpression	100		835914	0					
ANR	835959	PrimaryExpression	1		835914	1					
ANR	835960	PrimaryExpression	'\\0'		835914	1					
ANR	835961	ExpressionStatement	"memmove ( data , source , 100 * sizeof ( char ) )"	36:8:1192:1231	835914	3	True				
ANR	835962	CallExpression	"memmove ( data , source , 100 * sizeof ( char ) )"		835914	0					
ANR	835963	Callee	memmove		835914	0					
ANR	835964	Identifier	memmove		835914	0					
ANR	835965	ArgumentList	data		835914	1					
ANR	835966	Argument	data		835914	0					
ANR	835967	Identifier	data		835914	0					
ANR	835968	Argument	source		835914	1					
ANR	835969	Identifier	source		835914	0					
ANR	835970	Argument	100 * sizeof ( char )		835914	2					
ANR	835971	MultiplicativeExpression	100 * sizeof ( char )		835914	0		*			
ANR	835972	PrimaryExpression	100		835914	0					
ANR	835973	SizeofExpression	sizeof ( char )		835914	1					
ANR	835974	Sizeof	sizeof		835914	0					
ANR	835975	SizeofOperand	char		835914	1					
ANR	835976	ExpressionStatement	data [ 100 - 1 ] = '\\0'	38:8:1306:1324	835914	4	True				
ANR	835977	AssignmentExpression	data [ 100 - 1 ] = '\\0'		835914	0		=			
ANR	835978	ArrayIndexing	data [ 100 - 1 ]		835914	0					
ANR	835979	Identifier	data		835914	0					
ANR	835980	AdditiveExpression	100 - 1		835914	1		-			
ANR	835981	PrimaryExpression	100		835914	0					
ANR	835982	PrimaryExpression	1		835914	1					
ANR	835983	PrimaryExpression	'\\0'		835914	1					
ANR	835984	ExpressionStatement	printLine ( data )	39:8:1335:1350	835914	5	True				
ANR	835985	CallExpression	printLine ( data )		835914	0					
ANR	835986	Callee	printLine		835914	0					
ANR	835987	Identifier	printLine		835914	0					
ANR	835988	ArgumentList	data		835914	1					
ANR	835989	Argument	data		835914	0					
ANR	835990	Identifier	data		835914	0					
ANR	835991	ReturnType	void		835914	1					
ANR	835992	Identifier	CWE124_Buffer_Underwrite__malloc_char_memmove_61_bad		835914	2					
ANR	835993	ParameterList			835914	3					
ANR	835994	CFGEntryNode	ENTRY		835914		True				
ANR	835995	CFGExitNode	EXIT		835914		True				
ANR	835996	Symbol	CWE124_Buffer_Underwrite__malloc_char_memmove_61b_badSource		835914						
ANR	835997	Symbol	NULL		835914						
ANR	835998	Symbol	data		835914						
ANR	835999	Symbol	* source		835914						
ANR	836000	Symbol	source		835914						
ANR	836001	Symbol	* data		835914						
ANR	836002	DeclStmt									
ANR	836003	Decl							char	char * ( char * data )	CWE124_Buffer_Underwrite__malloc_char_memmove_61b_goodG2BSource
ANR	836004	Function	goodG2B	52:0:1696:2401							
ANR	836005	FunctionDef	goodG2B ()		836004	0					
ANR	836006	CompoundStatement		53:0:1719:2401	836004	0					
ANR	836007	IdentifierDeclStatement	char * data ;	54:4:1726:1737	836004	0	True				
ANR	836008	IdentifierDecl	* data		836004	0					
ANR	836009	IdentifierDeclType	char *		836004	0					
ANR	836010	Identifier	data		836004	1					
ANR	836011	ExpressionStatement	data = NULL	55:4:1744:1755	836004	1	True				
ANR	836012	AssignmentExpression	data = NULL		836004	0		=			
ANR	836013	Identifier	data		836004	0					
ANR	836014	Identifier	NULL		836004	1					
ANR	836015	ExpressionStatement	data = CWE124_Buffer_Underwrite__malloc_char_memmove_61b_goodG2BSource ( data )	56:4:1762:1838	836004	2	True				
ANR	836016	AssignmentExpression	data = CWE124_Buffer_Underwrite__malloc_char_memmove_61b_goodG2BSource ( data )		836004	0		=			
ANR	836017	Identifier	data		836004	0					
ANR	836018	CallExpression	CWE124_Buffer_Underwrite__malloc_char_memmove_61b_goodG2BSource ( data )		836004	1					
ANR	836019	Callee	CWE124_Buffer_Underwrite__malloc_char_memmove_61b_goodG2BSource		836004	0					
ANR	836020	Identifier	CWE124_Buffer_Underwrite__malloc_char_memmove_61b_goodG2BSource		836004	0					
ANR	836021	ArgumentList	data		836004	1					
ANR	836022	Argument	data		836004	0					
ANR	836023	Identifier	data		836004	0					
ANR	836024	CompoundStatement		6:8:136:152	836004	3					
ANR	836025	IdentifierDeclStatement	char source [ 100 ] ;	58:8:1856:1872	836004	0	True				
ANR	836026	IdentifierDecl	source [ 100 ]		836004	0					
ANR	836027	IdentifierDeclType	char [ 100 ]		836004	0					
ANR	836028	Identifier	source		836004	1					
ANR	836029	PrimaryExpression	100		836004	2					
ANR	836030	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	59:8:1883:1909	836004	1	True				
ANR	836031	CallExpression	"memset ( source , 'C' , 100 - 1 )"		836004	0					
ANR	836032	Callee	memset		836004	0					
ANR	836033	Identifier	memset		836004	0					
ANR	836034	ArgumentList	source		836004	1					
ANR	836035	Argument	source		836004	0					
ANR	836036	Identifier	source		836004	0					
ANR	836037	Argument	'C'		836004	1					
ANR	836038	PrimaryExpression	'C'		836004	0					
ANR	836039	Argument	100 - 1		836004	2					
ANR	836040	AdditiveExpression	100 - 1		836004	0		-			
ANR	836041	PrimaryExpression	100		836004	0					
ANR	836042	PrimaryExpression	1		836004	1					
ANR	836043	ExpressionStatement	source [ 100 - 1 ] = '\\0'	60:8:1941:1961	836004	2	True				
ANR	836044	AssignmentExpression	source [ 100 - 1 ] = '\\0'		836004	0		=			
ANR	836045	ArrayIndexing	source [ 100 - 1 ]		836004	0					
ANR	836046	Identifier	source		836004	0					
ANR	836047	AdditiveExpression	100 - 1		836004	1		-			
ANR	836048	PrimaryExpression	100		836004	0					
ANR	836049	PrimaryExpression	1		836004	1					
ANR	836050	PrimaryExpression	'\\0'		836004	1					
ANR	836051	ExpressionStatement	"memmove ( data , source , 100 * sizeof ( char ) )"	62:8:2086:2125	836004	3	True				
ANR	836052	CallExpression	"memmove ( data , source , 100 * sizeof ( char ) )"		836004	0					
ANR	836053	Callee	memmove		836004	0					
ANR	836054	Identifier	memmove		836004	0					
ANR	836055	ArgumentList	data		836004	1					
ANR	836056	Argument	data		836004	0					
ANR	836057	Identifier	data		836004	0					
ANR	836058	Argument	source		836004	1					
ANR	836059	Identifier	source		836004	0					
ANR	836060	Argument	100 * sizeof ( char )		836004	2					
ANR	836061	MultiplicativeExpression	100 * sizeof ( char )		836004	0		*			
ANR	836062	PrimaryExpression	100		836004	0					
ANR	836063	SizeofExpression	sizeof ( char )		836004	1					
ANR	836064	Sizeof	sizeof		836004	0					
ANR	836065	SizeofOperand	char		836004	1					
ANR	836066	ExpressionStatement	data [ 100 - 1 ] = '\\0'	64:8:2200:2218	836004	4	True				
ANR	836067	AssignmentExpression	data [ 100 - 1 ] = '\\0'		836004	0		=			
ANR	836068	ArrayIndexing	data [ 100 - 1 ]		836004	0					
ANR	836069	Identifier	data		836004	0					
ANR	836070	AdditiveExpression	100 - 1		836004	1		-			
ANR	836071	PrimaryExpression	100		836004	0					
ANR	836072	PrimaryExpression	1		836004	1					
ANR	836073	PrimaryExpression	'\\0'		836004	1					
ANR	836074	ExpressionStatement	printLine ( data )	65:8:2229:2244	836004	5	True				
ANR	836075	CallExpression	printLine ( data )		836004	0					
ANR	836076	Callee	printLine		836004	0					
ANR	836077	Identifier	printLine		836004	0					
ANR	836078	ArgumentList	data		836004	1					
ANR	836079	Argument	data		836004	0					
ANR	836080	Identifier	data		836004	0					
ANR	836081	ReturnType	static void		836004	1					
ANR	836082	Identifier	goodG2B		836004	2					
ANR	836083	ParameterList			836004	3					
ANR	836084	CFGEntryNode	ENTRY		836004		True				
ANR	836085	CFGExitNode	EXIT		836004		True				
ANR	836086	Symbol	NULL		836004						
ANR	836087	Symbol	data		836004						
ANR	836088	Symbol	* source		836004						
ANR	836089	Symbol	CWE124_Buffer_Underwrite__malloc_char_memmove_61b_goodG2BSource		836004						
ANR	836090	Symbol	source		836004						
ANR	836091	Symbol	* data		836004						
ANR	836092	Function	CWE124_Buffer_Underwrite__malloc_char_memmove_61_good	71:0:2406:2487							
ANR	836093	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_memmove_61_good ()		836092	0					
ANR	836094	CompoundStatement		72:0:2468:2487	836092	0					
ANR	836095	ExpressionStatement	goodG2B ( )	73:4:2475:2484	836092	0	True				
ANR	836096	CallExpression	goodG2B ( )		836092	0					
ANR	836097	Callee	goodG2B		836092	0					
ANR	836098	Identifier	goodG2B		836092	0					
ANR	836099	ArgumentList			836092	1					
ANR	836100	ReturnType	void		836092	1					
ANR	836101	Identifier	CWE124_Buffer_Underwrite__malloc_char_memmove_61_good		836092	2					
ANR	836102	ParameterList			836092	3					
ANR	836103	CFGEntryNode	ENTRY		836092		True				
ANR	836104	CFGExitNode	EXIT		836092		True				
ANR	836105	Function	main	86:0:2836:3297							
ANR	836106	FunctionDef	"main (int argc , char * argv [ ])"		836105	0					
ANR	836107	CompoundStatement		87:0:2871:3297	836105	0					
ANR	836108	ExpressionStatement	srand ( ( unsigned ) time ( NULL ) )	89:4:2905:2934	836105	0	True				
ANR	836109	CallExpression	srand ( ( unsigned ) time ( NULL ) )		836105	0					
ANR	836110	Callee	srand		836105	0					
ANR	836111	Identifier	srand		836105	0					
ANR	836112	ArgumentList	( unsigned ) time ( NULL )		836105	1					
ANR	836113	Argument	( unsigned ) time ( NULL )		836105	0					
ANR	836114	CastExpression	( unsigned ) time ( NULL )		836105	0					
ANR	836115	CastTarget	unsigned		836105	0					
ANR	836116	CallExpression	time ( NULL )		836105	1					
ANR	836117	Callee	time		836105	0					
ANR	836118	Identifier	time		836105	0					
ANR	836119	ArgumentList	NULL		836105	1					
ANR	836120	Argument	NULL		836105	0					
ANR	836121	Identifier	NULL		836105	0					
ANR	836122	ExpressionStatement	"printLine ( ""Calling good()..."" )"	91:4:2959:2989	836105	1	True				
ANR	836123	CallExpression	"printLine ( ""Calling good()..."" )"		836105	0					
ANR	836124	Callee	printLine		836105	0					
ANR	836125	Identifier	printLine		836105	0					
ANR	836126	ArgumentList	"""Calling good()..."""		836105	1					
ANR	836127	Argument	"""Calling good()..."""		836105	0					
ANR	836128	PrimaryExpression	"""Calling good()..."""		836105	0					
ANR	836129	ExpressionStatement	CWE124_Buffer_Underwrite__malloc_char_memmove_61_good ( )	92:4:2996:3051	836105	2	True				
ANR	836130	CallExpression	CWE124_Buffer_Underwrite__malloc_char_memmove_61_good ( )		836105	0					
ANR	836131	Callee	CWE124_Buffer_Underwrite__malloc_char_memmove_61_good		836105	0					
ANR	836132	Identifier	CWE124_Buffer_Underwrite__malloc_char_memmove_61_good		836105	0					
ANR	836133	ArgumentList			836105	1					
ANR	836134	ExpressionStatement	"printLine ( ""Finished good()"" )"	93:4:3058:3086	836105	3	True				
ANR	836135	CallExpression	"printLine ( ""Finished good()"" )"		836105	0					
ANR	836136	Callee	printLine		836105	0					
ANR	836137	Identifier	printLine		836105	0					
ANR	836138	ArgumentList	"""Finished good()"""		836105	1					
ANR	836139	Argument	"""Finished good()"""		836105	0					
ANR	836140	PrimaryExpression	"""Finished good()"""		836105	0					
ANR	836141	ExpressionStatement	"printLine ( ""Calling bad()..."" )"	96:4:3133:3162	836105	4	True				
ANR	836142	CallExpression	"printLine ( ""Calling bad()..."" )"		836105	0					
ANR	836143	Callee	printLine		836105	0					
ANR	836144	Identifier	printLine		836105	0					
ANR	836145	ArgumentList	"""Calling bad()..."""		836105	1					
ANR	836146	Argument	"""Calling bad()..."""		836105	0					
ANR	836147	PrimaryExpression	"""Calling bad()..."""		836105	0					
ANR	836148	ExpressionStatement	CWE124_Buffer_Underwrite__malloc_char_memmove_61_bad ( )	97:4:3169:3223	836105	5	True				
ANR	836149	CallExpression	CWE124_Buffer_Underwrite__malloc_char_memmove_61_bad ( )		836105	0					
ANR	836150	Callee	CWE124_Buffer_Underwrite__malloc_char_memmove_61_bad		836105	0					
ANR	836151	Identifier	CWE124_Buffer_Underwrite__malloc_char_memmove_61_bad		836105	0					
ANR	836152	ArgumentList			836105	1					
ANR	836153	ExpressionStatement	"printLine ( ""Finished bad()"" )"	98:4:3230:3257	836105	6	True				
ANR	836154	CallExpression	"printLine ( ""Finished bad()"" )"		836105	0					
ANR	836155	Callee	printLine		836105	0					
ANR	836156	Identifier	printLine		836105	0					
ANR	836157	ArgumentList	"""Finished bad()"""		836105	1					
ANR	836158	Argument	"""Finished bad()"""		836105	0					
ANR	836159	PrimaryExpression	"""Finished bad()"""		836105	0					
ANR	836160	ReturnStatement	return 0 ;	100:4:3286:3294	836105	7	True				
ANR	836161	PrimaryExpression	0		836105	0					
ANR	836162	ReturnType	int		836105	1					
ANR	836163	Identifier	main		836105	2					
ANR	836164	ParameterList	"int argc , char * argv [ ]"		836105	3					
ANR	836165	Parameter	int argc	86:9:2845:2852	836105	0	True				
ANR	836166	ParameterType	int		836105	0					
ANR	836167	Identifier	argc		836105	1					
ANR	836168	Parameter	char * argv [ ]	86:19:2855:2867	836105	1	True				
ANR	836169	ParameterType	char * [ ]		836105	0					
ANR	836170	Identifier	argv		836105	1					
ANR	836171	CFGEntryNode	ENTRY		836105		True				
ANR	836172	CFGExitNode	EXIT		836105		True				
ANR	836173	Symbol	argc		836105						
ANR	836174	Symbol	NULL		836105						
ANR	836175	Symbol	time		836105						
ANR	836176	Symbol	argv		836105						
