command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	837229	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-900-c/testcases/000/234/407/CWE124_Buffer_Underwrite__malloc_char_ncpy_03.c								
ANR	837230	Function	CWE124_Buffer_Underwrite__malloc_char_ncpy_03_bad	23:0:599:1610							
ANR	837231	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_ncpy_03_bad ()		837230	0					
ANR	837232	CompoundStatement		24:0:657:1610	837230	0					
ANR	837233	IdentifierDeclStatement	char * data ;	25:4:664:675	837230	0	True				
ANR	837234	IdentifierDecl	* data		837230	0					
ANR	837235	IdentifierDeclType	char *		837230	0					
ANR	837236	Identifier	data		837230	1					
ANR	837237	ExpressionStatement	data = NULL	26:4:682:693	837230	1	True				
ANR	837238	AssignmentExpression	data = NULL		837230	0		=			
ANR	837239	Identifier	data		837230	0					
ANR	837240	Identifier	NULL		837230	1					
ANR	837241	IfStatement	if ( 5 == 5 )		837230	2					
ANR	837242	Condition	5 == 5	27:7:703:706	837230	0	True				
ANR	837243	EqualityExpression	5 == 5		837230	0		==			
ANR	837244	PrimaryExpression	5		837230	0					
ANR	837245	PrimaryExpression	5		837230	1					
ANR	837246	CompoundStatement		5:4:56:56	837230	1					
ANR	837247	CompoundStatement		7:12:82:134	837230	0					
ANR	837248	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	30:12:740:792	837230	0	True				
ANR	837249	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		837230	0					
ANR	837250	IdentifierDeclType	char *		837230	0					
ANR	837251	Identifier	dataBuffer		837230	1					
ANR	837252	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		837230	2		=			
ANR	837253	Identifier	dataBuffer		837230	0					
ANR	837254	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		837230	1					
ANR	837255	CastTarget	char *		837230	0					
ANR	837256	CallExpression	malloc ( 100 * sizeof ( char ) )		837230	1					
ANR	837257	Callee	malloc		837230	0					
ANR	837258	Identifier	malloc		837230	0					
ANR	837259	ArgumentList	100 * sizeof ( char )		837230	1					
ANR	837260	Argument	100 * sizeof ( char )		837230	0					
ANR	837261	MultiplicativeExpression	100 * sizeof ( char )		837230	0		*			
ANR	837262	PrimaryExpression	100		837230	0					
ANR	837263	SizeofExpression	sizeof ( char )		837230	1					
ANR	837264	Sizeof	sizeof		837230	0					
ANR	837265	SizeofOperand	char		837230	1					
ANR	837266	IfStatement	if ( dataBuffer == NULL )		837230	1					
ANR	837267	Condition	dataBuffer == NULL	31:16:811:828	837230	0	True				
ANR	837268	EqualityExpression	dataBuffer == NULL		837230	0		==			
ANR	837269	Identifier	dataBuffer		837230	0					
ANR	837270	Identifier	NULL		837230	1					
ANR	837271	CompoundStatement		8:36:173:173	837230	1					
ANR	837272	ExpressionStatement	exit ( - 1 )	31:37:832:840	837230	0	True				
ANR	837273	CallExpression	exit ( - 1 )		837230	0					
ANR	837274	Callee	exit		837230	0					
ANR	837275	Identifier	exit		837230	0					
ANR	837276	ArgumentList	- 1		837230	1					
ANR	837277	Argument	- 1		837230	0					
ANR	837278	UnaryOperationExpression	- 1		837230	0					
ANR	837279	UnaryOperator	-		837230	0					
ANR	837280	PrimaryExpression	1		837230	1					
