start	end	type	var
4	5	IS_AST_PARENT	
6	7	IS_AST_PARENT	
4	6	IS_AST_PARENT	
3	4	IS_AST_PARENT	
3	8	IS_AST_PARENT	
3	9	IS_AST_PARENT	
3	10	IS_AST_PARENT	
11	5	FLOWS_TO	
5	6	FLOWS_TO	
6	12	FLOWS_TO	
11	5	CONTROLS	
11	6	CONTROLS	
11	11	DOM	
5	6	DOM	
6	12	DOM	
11	5	DOM	
5	11	POST_DOM	
12	6	POST_DOM	
12	12	POST_DOM	
6	5	POST_DOM	
2	3	IS_FUNCTION_OF_AST	
2	11	IS_FUNCTION_OF_CFG	
1	2	IS_FILE_OF	
15	16	IS_AST_PARENT	
17	18	IS_AST_PARENT	
15	17	IS_AST_PARENT	
14	15	IS_AST_PARENT	
14	19	IS_AST_PARENT	
14	20	IS_AST_PARENT	
14	21	IS_AST_PARENT	
22	16	FLOWS_TO	
16	17	FLOWS_TO	
17	23	FLOWS_TO	
22	16	CONTROLS	
22	17	CONTROLS	
22	16	DOM	
16	17	DOM	
17	23	DOM	
22	22	DOM	
17	16	POST_DOM	
23	17	POST_DOM	
23	23	POST_DOM	
16	22	POST_DOM	
13	14	IS_FUNCTION_OF_AST	
13	22	IS_FUNCTION_OF_CFG	
1	13	IS_FILE_OF	
28	29	IS_AST_PARENT	
28	30	IS_AST_PARENT	
27	28	IS_AST_PARENT	
26	27	IS_AST_PARENT	
32	33	IS_AST_PARENT	
32	34	IS_AST_PARENT	
31	32	IS_AST_PARENT	
26	31	IS_AST_PARENT	
38	39	IS_AST_PARENT	
37	38	IS_AST_PARENT	
37	40	IS_AST_PARENT	
36	37	IS_AST_PARENT	
35	36	IS_AST_PARENT	
43	44	IS_AST_PARENT	
45	46	IS_AST_PARENT	
48	49	IS_AST_PARENT	
47	48	IS_AST_PARENT	
52	53	IS_AST_PARENT	
54	55	IS_AST_PARENT	
54	56	IS_AST_PARENT	
52	54	IS_AST_PARENT	
51	52	IS_AST_PARENT	
50	51	IS_AST_PARENT	
47	50	IS_AST_PARENT	
45	47	IS_AST_PARENT	
43	45	IS_AST_PARENT	
42	43	IS_AST_PARENT	
41	42	IS_AST_PARENT	
59	60	IS_AST_PARENT	
59	61	IS_AST_PARENT	
58	59	IS_AST_PARENT	
57	58	IS_AST_PARENT	
65	66	IS_AST_PARENT	
64	65	IS_AST_PARENT	
69	70	IS_AST_PARENT	
69	71	IS_AST_PARENT	
68	69	IS_AST_PARENT	
67	68	IS_AST_PARENT	
64	67	IS_AST_PARENT	
63	64	IS_AST_PARENT	
62	63	IS_AST_PARENT	
57	62	IS_AST_PARENT	
41	57	IS_AST_PARENT	
74	75	IS_AST_PARENT	
73	74	IS_AST_PARENT	
77	78	IS_AST_PARENT	
76	77	IS_AST_PARENT	
73	76	IS_AST_PARENT	
72	73	IS_AST_PARENT	
41	72	IS_AST_PARENT	
35	41	IS_AST_PARENT	
26	35	IS_AST_PARENT	
82	83	IS_AST_PARENT	
81	82	IS_AST_PARENT	
81	84	IS_AST_PARENT	
80	81	IS_AST_PARENT	
79	80	IS_AST_PARENT	
88	89	IS_AST_PARENT	
87	88	IS_AST_PARENT	
91	92	IS_AST_PARENT	
90	91	IS_AST_PARENT	
87	90	IS_AST_PARENT	
86	87	IS_AST_PARENT	
85	86	IS_AST_PARENT	
79	85	IS_AST_PARENT	
26	79	IS_AST_PARENT	
25	26	IS_AST_PARENT	
25	93	IS_AST_PARENT	
25	94	IS_AST_PARENT	
25	95	IS_AST_PARENT	
96	27	FLOWS_TO	
27	31	FLOWS_TO	
31	36	FLOWS_TO	
36	42	FLOWS_TO	
36	80	FLOWS_TO	
42	58	FLOWS_TO	
58	63	FLOWS_TO	
58	72	FLOWS_TO	
63	72	FLOWS_TO	
72	80	FLOWS_TO	
80	86	FLOWS_TO	
80	97	FLOWS_TO	
86	97	FLOWS_TO	
42	98	USE	
43	98	USE	
31	99	USE	
32	99	USE	
58	99	USE	
27	100	DEF	
28	100	DEF	
31	100	DEF	
32	100	DEF	
42	100	DEF	
43	100	DEF	
58	100	USE	
72	100	USE	
77	100	USE	
86	100	USE	
91	100	USE	
36	101	USE	
80	101	USE	
42	58	REACHES	data
42	72	REACHES	data
42	86	REACHES	data
31	86	REACHES	data
96	27	CONTROLS	
96	31	CONTROLS	
96	36	CONTROLS	
96	80	CONTROLS	
36	42	CONTROLS	
36	58	CONTROLS	
36	72	CONTROLS	
58	63	CONTROLS	
80	86	CONTROLS	
27	31	DOM	
58	72	DOM	
96	27	DOM	
80	97	DOM	
31	36	DOM	
42	58	DOM	
80	86	DOM	
36	42	DOM	
58	63	DOM	
96	96	DOM	
36	80	DOM	
36	31	POST_DOM	
80	72	POST_DOM	
31	27	POST_DOM	
97	97	POST_DOM	
80	36	POST_DOM	
72	58	POST_DOM	
97	86	POST_DOM	
58	42	POST_DOM	
72	63	POST_DOM	
97	80	POST_DOM	
27	96	POST_DOM	
24	25	IS_FUNCTION_OF_AST	
24	96	IS_FUNCTION_OF_CFG	
1	24	IS_FILE_OF	
